boundary, 	 energy
-2.0, 	 0.999
-1.9, 	 0.998
-1.8, 	 0.997
-1.7, 	 0.996
-1.6, 	 0.994
-1.5, 	 0.992
-1.4, 	 0.989
-1.3, 	 0.985
-1.2, 	 0.979
-1.1, 	 0.971
-1.0, 	 0.961
-0.9, 	 0.948
-0.8, 	 0.932
-0.7, 	 0.911
-0.6, 	 0.886
-0.5, 	 0.855
-0.4, 	 0.818
-0.3, 	 0.774
-0.2, 	 0.722
-0.1, 	 0.661
0.0, 	 0.590
0.1, 	 0.508
0.2, 	 0.415
0.3, 	 0.309
0.4, 	 0.190
0.5, 	 0.058
0.6, 	 -0.089
0.7, 	 -0.252
0.8, 	 -0.430
0.9, 	 -0.624
1.0, 	 -0.835
1.1, 	 -1.064
1.2, 	 -1.310
1.3, 	 -1.573
1.4, 	 -1.856
1.5, 	 -2.156
1.6, 	 -2.475
1.7, 	 -2.813
1.8, 	 -3.171
1.9, 	 -3.55
